Version; FileName ; Size;nr;nAuth; LOC_touched;LOC_Added; Max_locAdded;Avg_locAdded;Churn;MAX_Churn; AVG_Churn;ChgSetSize;Max_chgSetSize;Avg_chgSetSize;Buggy
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/util/StringUtils.java;59;4;4;127;98;94;14;69;94;14;97;3;2;no
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/util/ZkUtils.java;83;1;1;94;94;94;94;94;94;94;0;0;0;yes
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/BookieLayoutVersionTest.java;237;3;3;321;291;246;16;261;261;16;162;2;2;yes
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/EntryLogTest.java;81;1;1;90;90;90;90;90;90;90;0;0;0;yes
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/client/BookKeeperTestClient.java;64;4;4;77;74;61;11;71;71;11;138;3;2;no
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/client/BookieRecoveryTest.java;549;11;11;839;728;400;7;617;653;7;522;10;7;yes
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/client/LedgerCacheTest.java;123;8;8;193;166;131;7;139;139;7;314;7;4;no
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/client/TestFencing.java;310;3;3;351;348;343;70;345;345;70;151;2;2;yes
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/HierarchicalAsyncLedgerOpsTest.java;40;1;1;47;47;47;47;47;47;47;0;0;0;no
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/HierarchicalBookieFailureTest.java;40;1;1;47;47;47;47;47;47;47;0;0;0;no
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/HierarchicalBookieReadWriteTest.java;40;1;1;47;47;47;47;47;47;47;0;0;0;no
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/HierarchicalBookieRecoveryTest.java;39;1;1;46;46;46;46;46;46;46;0;0;0;no
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/HierarchicalLedgerDeleteTest.java;40;1;1;47;47;47;47;47;47;47;0;0;0;no
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/LedgerLayoutTest.java;118;1;1;136;136;136;136;136;136;136;0;0;0;no
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/TestLedgerManager.java;235;1;1;261;261;261;261;261;261;261;0;0;0;no
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/proto/TestProtoVersions.java;101;2;2;115;114;113;57;113;113;57;72;1;1;no
